opportunity_id,sales_agent,product,account,deal_stage,engage_date,close_date,close_value,engage_quarter,close_quarter
1C1I7A6R,Moses Frase,GTX Plus Basic,Cancity,Won,20-10-16,01-03-17,1054,Q4 2016,Q1 2017
Z063OYW0,Darcel Schlecht,GTXPro,Isdom,Won,25-10-16,11-03-17,4514,Q4 2016,Q1 2017
EC4QE1BX,Darcel Schlecht,MG Special,Cancity,Won,25-10-16,07-03-17,50,Q4 2016,Q1 2017
MV1LWRNH,Moses Frase,GTX Basic,Codehow,Won,25-10-16,09-03-17,588,Q4 2016,Q1 2017
PE84CX4O,Zane Levy,GTX Basic,Hatfan,Won,25-10-16,02-03-17,517,Q4 2016,Q1 2017
ZNBS69V1,Anna Snelling,MG Special,Ron-tech,Won,29-10-16,01-03-17,49,Q4 2016,Q1 2017
9ME3374G,Vicki Laflamme,MG Special,J-Texon,Won,30-10-16,02-03-17,57,Q4 2016,Q1 2017
7GN8Q4LL,Markita Hansen,GTX Basic,Cheers,Won,01-11-16,07-03-17,601,Q4 2016,Q1 2017
OLK9LKZB,Niesha Huffines,GTX Plus Basic,Zumgoity,Won,01-11-16,03-03-17,1026,Q4 2016,Q1 2017
HAXMC4IX,James Ascencio,MG Advanced,,Engaging,03-11-16,,,Q4 2016,
NL3JZH1Z,Anna Snelling,MG Special,Bioholding,Won,04-11-16,10-03-17,53,Q4 2016,Q1 2017
KWVA7VR1,Gladys Colclough,GTXPro,Genco Pura Olive Oil Company,Lost,04-11-16,18-03-17,0,Q4 2016,Q1 2017
S8DX3XOU,James Ascencio,GTX Plus Pro,Sunnamplex,Won,04-11-16,10-03-17,5169,Q4 2016,Q1 2017
ENB2XD8G,Maureen Marcano,GTX Plus Pro,Sonron,Won,04-11-16,06-03-17,4631,Q4 2016,Q1 2017
09YE9QOV,Hayden Neloms,MG Advanced,Finjob,Won,05-11-16,11-03-17,3393,Q4 2016,Q1 2017
3F5MZNEH,Rosalina Dieter,MG Special,Sonron,Lost,05-11-16,03-03-17,0,Q4 2016,Q1 2017
